branch,quartic_lane,top_split_output_pos,top_split_branch_pos,top_split_pair_index,top_split_low_input_pos,top_split_high_input_pos,top_split_formula,source_block_k,source_n3,source_n32,source_vector_group,source_input_register,source_input_register_lane,twist_table,twist_index,twist_mont,twist_normal,dft3_column,dft3_output_k3,dft3_factor_exp,dft3_factor_mont,dft3_factor_normal,dft3_one_mul_role,source_pos_n3_0,source_pos_n3_1,source_pos_n3_2,source_twist_n3_0,source_twist_n3_1,source_twist_n3_2,ntt32_input_k32,ntt32_input_work_index,ntt32_input_register,ntt32_input_register_lane,ntt32_input_vector_group,ntt32_bitrev_output_index,ntt32_bitrev_output_register,ntt32_bitrev_output_lane,notes
0,0,136,136,136,136,520,low_plus_zeta_high,34,1,2,0,v5,2,twist_branch0,34,1558,2200,2,1,1,-886,2734,plus_omega3_times_d,264,136,8,66,34,2,2,2,v4,2,0,8,v5,0,top_split_then_twist_then_dft3_contribution_then_natural_ntt32_input_bitrev_output
0,0,136,136,136,136,520,low_plus_zeta_high,34,1,2,0,v5,2,twist_branch0,34,1558,2200,2,2,2,1033,722,minus_x1_minus_omega3_times_d,264,136,8,66,34,2,2,2,v4,2,0,8,v5,0,top_split_then_twist_then_dft3_contribution_then_natural_ntt32_input_bitrev_output
0,0,8,8,8,8,392,low_plus_zeta_high,2,2,2,0,v6,2,twist_branch0,2,-901,2593,2,0,0,-147,1,x0_plus_x1_plus_x2,264,136,8,66,34,2,2,2,v4,2,0,8,v5,0,top_split_then_twist_then_dft3_contribution_then_natural_ntt32_input_bitrev_output
0,0,8,8,8,8,392,low_plus_zeta_high,2,2,2,0,v6,2,twist_branch0,2,-901,2593,2,1,2,1033,722,minus_x2_minus_omega3_times_d,264,136,8,66,34,2,2,2,v4,2,0,8,v5,0,top_split_then_twist_then_dft3_contribution_then_natural_ntt32_input_bitrev_output
0,0,8,8,8,8,392,low_plus_zeta_high,2,2,2,0,v6,2,twist_branch0,2,-901,2593,2,2,1,-886,2734,plus_omega3_times_d,264,136,8,66,34,2,2,2,v4,2,0,8,v5,0,top_split_then_twist_then_dft3_contribution_then_natural_ntt32_input_bitrev_output
0,0,12,12,12,12,396,low_plus_zeta_high,3,0,3,0,v4,3,twist_branch0,3,1278,3025,3,0,0,-147,1,x0_plus_x1_plus_x2,12,268,140,3,67,35,3,3,v4,3,0,24,v7,0,top_split_then_twist_then_dft3_contribution_then_natural_ntt32_input_bitrev_output
0,0,12,12,12,12,396,low_plus_zeta_high,3,0,3,0,v4,3,twist_branch0,3,1278,3025,3,1,0,-147,1,x0,12,268,140,3,67,35,3,3,v4,3,0,24,v7,0,top_split_then_twist_then_dft3_contribution_then_natural_ntt32_input_bitrev_output
0,0,12,12,12,12,396,low_plus_zeta_high,3,0,3,0,v4,3,twist_branch0,3,1278,3025,3,2,0,-147,1,x0,12,268,140,3,67,35,3,3,v4,3,0,24,v7,0,top_split_then_twist_then_dft3_contribution_then_natural_ntt32_input_bitrev_output
0,0,268,268,268,268,652,low_plus_zeta_high,67,1,3,0,v5,3,twist_branch0,67,-31,400,3,0,0,-147,1,x0_plus_x1_plus_x2,12,268,140,3,67,35,3,3,v4,3,0,24,v7,0,top_split_then_twist_then_dft3_contribution_then_natural_ntt32_input_bitrev_output
0,0,268,268,268,268,652,low_plus_zeta_high,67,1,3,0,v5,3,twist_branch0,67,-31,400,3,1,1,-886,2734,plus_omega3_times_d,12,268,140,3,67,35,3,3,v4,3,0,24,v7,0,top_split_then_twist_then_dft3_contribution_then_natural_ntt32_input_bitrev_output
