row_k3,stage,len,start,j,lo_index,hi_index,twiddle_power,twiddle_mont,twiddle_normal,algorithm,notes
1,1,32,0,1,1,17,1,484,1784,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,1,32,0,2,2,18,2,-794,2216,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,1,32,0,3,3,19,3,874,1993,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,1,32,0,4,4,20,4,109,1716,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,1,32,0,5,5,21,5,864,1899,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,1,32,0,6,6,22,6,-446,3413,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,1,32,0,7,7,23,7,-554,1015,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,1,32,0,8,8,24,8,366,2749,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,1,32,0,9,9,25,9,-429,2190,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,1,32,0,10,10,26,10,-1339,550,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,1,32,0,11,11,27,11,11,2869,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,1,32,0,12,12,28,12,-1118,1936,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,1,32,0,13,13,29,13,177,281,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,1,32,0,14,14,30,14,1181,39,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,1,32,0,15,15,31,15,1591,436,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,2,16,0,0,0,8,0,-147,1,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,2,16,0,1,1,9,2,-794,2216,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,2,16,0,2,2,10,4,109,1716,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,2,16,0,3,3,11,6,-446,3413,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,2,16,0,4,4,12,8,366,2749,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,2,16,0,5,5,13,10,-1339,550,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,2,16,0,6,6,14,12,-1118,1936,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,2,16,0,7,7,15,14,1181,39,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,2,16,16,0,16,24,0,-147,1,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,2,16,16,1,17,25,2,-794,2216,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,2,16,16,2,18,26,4,109,1716,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,2,16,16,3,19,27,6,-446,3413,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,2,16,16,4,20,28,8,366,2749,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,2,16,16,5,21,29,10,-1339,550,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,2,16,16,6,22,30,12,-1118,1936,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,2,16,16,7,23,31,14,1181,39,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,3,8,0,0,0,4,0,-147,1,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,3,8,0,1,1,5,4,109,1716,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,3,8,0,2,2,6,8,366,2749,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,3,8,0,3,3,7,12,-1118,1936,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,3,8,8,0,8,12,0,-147,1,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,3,8,8,1,9,13,4,109,1716,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,3,8,8,2,10,14,8,366,2749,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,3,8,8,3,11,15,12,-1118,1936,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,3,8,16,0,16,20,0,-147,1,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,3,8,16,1,17,21,4,109,1716,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,3,8,16,2,18,22,8,366,2749,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,3,8,16,3,19,23,12,-1118,1936,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,3,8,24,0,24,28,0,-147,1,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,3,8,24,1,25,29,4,109,1716,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,3,8,24,2,26,30,8,366,2749,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,3,8,24,3,27,31,12,-1118,1936,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,4,4,0,0,0,2,0,-147,1,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,4,4,0,1,1,3,8,366,2749,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,4,4,4,0,4,6,0,-147,1,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,4,4,4,1,5,7,8,366,2749,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,4,4,8,0,8,10,0,-147,1,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,4,4,8,1,9,11,8,366,2749,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,4,4,12,0,12,14,0,-147,1,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,4,4,12,1,13,15,8,366,2749,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,4,4,16,0,16,18,0,-147,1,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,4,4,16,1,17,19,8,366,2749,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,4,4,20,0,20,22,0,-147,1,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,4,4,20,1,21,23,8,366,2749,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,4,4,24,0,24,26,0,-147,1,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,4,4,24,1,25,27,8,366,2749,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,4,4,28,0,28,30,0,-147,1,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
1,4,4,28,1,29,31,8,366,2749,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,1,32,0,0,0,16,0,-147,1,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,1,32,0,1,1,17,1,484,1784,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,1,32,0,2,2,18,2,-794,2216,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,1,32,0,3,3,19,3,874,1993,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,1,32,0,4,4,20,4,109,1716,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,1,32,0,5,5,21,5,864,1899,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,1,32,0,6,6,22,6,-446,3413,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,1,32,0,7,7,23,7,-554,1015,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,1,32,0,8,8,24,8,366,2749,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,1,32,0,9,9,25,9,-429,2190,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,1,32,0,10,10,26,10,-1339,550,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,1,32,0,11,11,27,11,11,2869,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,1,32,0,12,12,28,12,-1118,1936,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,1,32,0,13,13,29,13,177,281,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,1,32,0,14,14,30,14,1181,39,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,1,32,0,15,15,31,15,1591,436,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,2,16,0,0,0,8,0,-147,1,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,2,16,0,1,1,9,2,-794,2216,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,2,16,0,2,2,10,4,109,1716,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,2,16,0,3,3,11,6,-446,3413,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,2,16,0,4,4,12,8,366,2749,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,2,16,0,5,5,13,10,-1339,550,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,2,16,0,6,6,14,12,-1118,1936,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,2,16,0,7,7,15,14,1181,39,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,2,16,16,0,16,24,0,-147,1,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,2,16,16,1,17,25,2,-794,2216,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,2,16,16,2,18,26,4,109,1716,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,2,16,16,3,19,27,6,-446,3413,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,2,16,16,4,20,28,8,366,2749,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,2,16,16,5,21,29,10,-1339,550,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,2,16,16,6,22,30,12,-1118,1936,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,2,16,16,7,23,31,14,1181,39,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,3,8,0,0,0,4,0,-147,1,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,3,8,0,1,1,5,4,109,1716,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,3,8,0,2,2,6,8,366,2749,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,3,8,0,3,3,7,12,-1118,1936,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,3,8,8,0,8,12,0,-147,1,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,3,8,8,1,9,13,4,109,1716,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,3,8,8,2,10,14,8,366,2749,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,3,8,8,3,11,15,12,-1118,1936,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,3,8,16,0,16,20,0,-147,1,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,3,8,16,1,17,21,4,109,1716,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,3,8,16,2,18,22,8,366,2749,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,3,8,16,3,19,23,12,-1118,1936,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,3,8,24,0,24,28,0,-147,1,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,3,8,24,1,25,29,4,109,1716,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,3,8,24,2,26,30,8,366,2749,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,3,8,24,3,27,31,12,-1118,1936,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,4,4,0,0,0,2,0,-147,1,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,4,4,0,1,1,3,8,366,2749,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,4,4,4,0,4,6,0,-147,1,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,4,4,4,1,5,7,8,366,2749,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,4,4,8,0,8,10,0,-147,1,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,4,4,8,1,9,11,8,366,2749,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,4,4,12,0,12,14,0,-147,1,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,4,4,12,1,13,15,8,366,2749,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,4,4,16,0,16,18,0,-147,1,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,4,4,16,1,17,19,8,366,2749,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,4,4,20,0,20,22,0,-147,1,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,4,4,20,1,21,23,8,366,2749,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,4,4,24,0,24,26,0,-147,1,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,4,4,24,1,25,27,8,366,2749,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,4,4,28,0,28,30,0,-147,1,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
2,4,4,28,1,29,31,8,366,2749,incomplete_dif_pre_len2,high_output_is_(low-high)_times_twiddle
