region,variant,block,slot,cycles
0,0,0,0,1329
0,1,0,1,1579
0,1,0,2,1158
0,0,0,3,1126
0,1,1,0,1091
0,0,1,1,1094
0,0,1,2,1071
0,1,1,3,1114
0,0,2,0,1090
0,1,2,1,1113
0,1,2,2,1078
0,0,2,3,1119
0,1,3,0,1111
0,0,3,1,1095
0,0,3,2,1053
0,1,3,3,1124
0,0,4,0,1069
0,1,4,1,1133
0,1,4,2,1094
0,0,4,3,1123
0,1,5,0,1110
0,0,5,1,1098
0,0,5,2,1072
0,1,5,3,1141
0,0,6,0,1083
0,1,6,1,1116
0,1,6,2,1090
0,0,6,3,1089
0,1,7,0,1120
0,0,7,1,1123
0,0,7,2,1055
0,1,7,3,1187
0,0,8,0,1088
0,1,8,1,1122
0,1,8,2,1091
0,0,8,3,1114
0,1,9,0,1096
0,0,9,1,1085
0,0,9,2,1052
0,1,9,3,1147
0,0,10,0,1187
0,1,10,1,1113
0,1,10,2,1079
0,0,10,3,1126
0,1,11,0,1098
0,0,11,1,1121
0,0,11,2,1071
0,1,11,3,1118
0,0,12,0,1084
0,1,12,1,1108
0,1,12,2,1071
0,0,12,3,1109
0,1,13,0,1106
0,0,13,1,1104
0,0,13,2,1040
0,1,13,3,1108
0,0,14,0,1089
0,1,14,1,1114
0,1,14,2,1084
0,0,14,3,1159
0,1,15,0,1100
0,0,15,1,1138
0,0,15,2,1051
0,1,15,3,1151
0,0,16,0,1097
0,1,16,1,1106
0,1,16,2,1103
0,0,16,3,1140
0,1,17,0,1097
0,0,17,1,1113
0,0,17,2,1024
0,1,17,3,1145
0,0,18,0,1080
0,1,18,1,1102
0,1,18,2,1102
0,0,18,3,1151
0,1,19,0,1102
0,0,19,1,1101
0,0,19,2,1048
0,1,19,3,1117
0,0,20,0,1126
0,1,20,1,1107
0,1,20,2,1108
0,0,20,3,1130
0,1,21,0,1121
0,0,21,1,1102
0,0,21,2,1063
0,1,21,3,1133
0,0,22,0,1084
0,1,22,1,1115
0,1,22,2,1102
0,0,22,3,1086
0,1,23,0,1089
0,0,23,1,1101
0,0,23,2,1057
0,1,23,3,1125
0,0,24,0,1097
0,1,24,1,1104
0,1,24,2,1108
0,0,24,3,1111
0,1,25,0,1115
0,0,25,1,1104
0,0,25,2,1031
0,1,25,3,1127
0,0,26,0,1076
0,1,26,1,1105
0,1,26,2,1078
0,0,26,3,1114
0,1,27,0,1095
0,0,27,1,1091
0,0,27,2,1084
0,1,27,3,1116
0,0,28,0,1070
0,1,28,1,1113
0,1,28,2,1090
0,0,28,3,1126
0,1,29,0,1104
0,0,29,1,1098
0,0,29,2,1055
0,1,29,3,1109
0,0,30,0,1077
0,1,30,1,1110
0,1,30,2,1077
0,0,30,3,1117
0,1,31,0,1122
0,0,31,1,1102
0,0,31,2,1073
0,1,31,3,1129
1,0,0,0,3404
1,1,0,1,3203
1,1,0,2,2936
1,0,0,3,2943
1,1,1,0,2836
1,0,1,1,2885
1,0,1,2,2920
1,1,1,3,2975
1,0,2,0,2914
1,1,2,1,2868
1,1,2,2,2862
1,0,2,3,2897
1,1,3,0,2904
1,0,3,1,2826
1,0,3,2,2885
1,1,3,3,3038
1,0,4,0,2871
1,1,4,1,2834
1,1,4,2,2866
1,0,4,3,3003
1,1,5,0,2911
1,0,5,1,2824
1,0,5,2,2886
1,1,5,3,2911
1,0,6,0,2885
1,1,6,1,2870
1,1,6,2,2838
1,0,6,3,2937
1,1,7,0,2885
1,0,7,1,2885
1,0,7,2,2894
1,1,7,3,2896
1,0,8,0,2884
1,1,8,1,2810
1,1,8,2,2842
1,0,8,3,2968
1,1,9,0,2908
1,0,9,1,2887
1,0,9,2,2893
1,1,9,3,2972
1,0,10,0,2877
1,1,10,1,2870
1,1,10,2,2847
1,0,10,3,2868
1,1,11,0,2870
1,0,11,1,2880
1,0,11,2,2863
1,1,11,3,3014
1,0,12,0,2882
1,1,12,1,2864
1,1,12,2,2844
1,0,12,3,2938
1,1,13,0,2850
1,0,13,1,2868
1,0,13,2,2860
1,1,13,3,2908
1,0,14,0,2867
1,1,14,1,2857
1,1,14,2,2912
1,0,14,3,2896
1,1,15,0,2880
1,0,15,1,2876
1,0,15,2,2888
1,1,15,3,2924
1,0,16,0,2888
1,1,16,1,2847
1,1,16,2,2896
1,0,16,3,2908
1,1,17,0,2915
1,0,17,1,2892
1,0,17,2,2847
1,1,17,3,2866
1,0,18,0,2887
1,1,18,1,2867
1,1,18,2,2894
1,0,18,3,2868
1,1,19,0,2864
1,0,19,1,2903
1,0,19,2,2911
1,1,19,3,2888
1,0,20,0,2937
1,1,20,1,2851
1,1,20,2,2832
1,0,20,3,2902
1,1,21,0,2874
1,0,21,1,2915
1,0,21,2,2877
1,1,21,3,2906
1,0,22,0,2916
1,1,22,1,2858
1,1,22,2,2837
1,0,22,3,2895
1,1,23,0,2922
1,0,23,1,2883
1,0,23,2,2890
1,1,23,3,2892
1,0,24,0,2861
1,1,24,1,2906
1,1,24,2,2868
1,0,24,3,2908
1,1,25,0,2898
1,0,25,1,2892
1,0,25,2,2888
1,1,25,3,2919
1,0,26,0,2860
1,1,26,1,2850
1,1,26,2,2847
1,0,26,3,2878
1,1,27,0,2913
1,0,27,1,2890
1,0,27,2,2902
1,1,27,3,2919
1,0,28,0,2861
1,1,28,1,2851
1,1,28,2,2877
1,0,28,3,2874
1,1,29,0,2875
1,0,29,1,2824
1,0,29,2,2912
1,1,29,3,2948
1,0,30,0,2843
1,1,30,1,2898
1,1,30,2,2877
1,0,30,3,2934
1,1,31,0,2921
1,0,31,1,2897
1,0,31,2,2849
1,1,31,3,2923
